player,team,position,practice_wed,practice_thu,practice_fri,trend,injury,game_status,full_participation_final
Thomas Harper,DET,S,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Tim Patrick,NYJ,WR,DNP,DNP,DNP,DNP_ALL_WEEK,Groin,Out,False
Tory Horton,SEA,WR,FULL,FULL,LIMITED,DECLINING,Hamstring,Questionable,False
TreVeyon Henderson,NE,RB,FULL,FULL,DNP,DECLINING,Ankle,Out,False
Trent Brown,HOU,T,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Trent Williams,SF,T,DNP,FULL,,ARRIVING,,,True
Trevor Nowaske,DET,LB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Trey Hendrickson,BAL,LB,DNP,DNP,,DNP_ALL_WEEK,,,False
Trey McBride,ARI,TE,DNP,FULL,,ARRIVING,,,True
Trey Pipkins,LAC,T,DNP,DNP,,DNP_ALL_WEEK,,,False
Trey Smith,KC,G,,FULL,FULL,FULL_ALL_WEEK,,,True
Troy Fautanu,PIT,T,DNP,LIMITED,,IMPROVING,,,False
Troy Franklin,DEN,WR,FULL,FULL,,FULL_ALL_WEEK,,,True
Tua Tagovailoa,ATL,QB,DNP,DNP,DNP,DNP_ALL_WEEK,Oblique,Out,False
Tucker Addington,MIA,LS,LIMITED,LIMITED,,LIMITED_STEADY,,,False
Tuli Tuipulotu,LAC,DE,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Hip,Questionable,False
Ty Johnson,BUF,RB,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Hamstring,Questionable,False
Ty Okada,SEA,S,DNP,DNP,DNP,DNP_ALL_WEEK,Hamstring,Out,False
Ty'Ron Hopper,GB,LB,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Achilles,Questionable,False
Tyler Higbee,LAR,TE,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Tyler Owens,WAS,S,FULL,FULL,,FULL_ALL_WEEK,,,True
Tyson Bagent,CHI,QB,DNP,DNP,DNP,DNP_ALL_WEEK,Back,Questionable,False
Tyson Campbell,CLE,CB,,DNP,,DNP_SINGLE,,,False
Upton Stout,SF,CB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Wade Woodaz,HOU,LB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Warren Brinson,GB,DT,DNP,DNP,DNP,DNP_ALL_WEEK,Calf,Out,False
Will Anderson Jr.,HOU,DE,LIMITED,LIMITED,DNP,DECLINING,,,False
Will Johnson,ARI,CB,FULL,FULL,FULL,FULL_ALL_WEEK,,,True
Will Kacmarek,MIA,TE,LIMITED,LIMITED,FULL,ARRIVING,,,True
Will McDonald IV,NYJ,DE,,LIMITED,,LIMITED_SINGLE,,,False
Xavier Woods,CHI,S,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Groin,Questionable,False
Xavier Worthy,KC,WR,,FULL,FULL,FULL_ALL_WEEK,,,True
Za'Darius Smith,ATL,DE,LIMITED,DNP,FULL,MIXED,Shoulder,Questionable,True
Zach Bako-Bewele,GB,T,LIMITED,LIMITED,LIMITED,LIMITED_STEADY,Knee,Questionable,False
Zach Wood,NO,LS,,DNP,,DNP_SINGLE,,,False
Zachariah Branch,ATL,WR,LIMITED,LIMITED,FULL,ARRIVING,,,True
Zay Flowers,BAL,WR,DNP,DNP,FULL,ARRIVING,,,True
Zion Johnson,CLE,G,FULL,FULL,,FULL_ALL_WEEK,,,True
